"Final" "Home" "Open" "Close" "Change"
-8.00 0.00 6.50 6.50 0.00
-9.00 1.00 -5.00 -7.00 2.00
-9.00 0.00 7.50 9.50 -2.00
1.00 1.00 1.50 3.50 -2.00
-14.00 0.00 6.00 5.50 0.50
-19.00 0.00 7.50 6.50 1.00
1.00 0.00 5.00 3.50 1.50
9.00 1.00 -9.50 -11.00 1.50
-8.00 0.00 8.50 9.00 -0.50
5.00 1.00 -9.50 -9.00 -0.50
-29.00 0.00 -2.50 -1.00 -1.50
-8.00 1.00 -2.50 1.50 -4.00
-17.00 1.00 -1.50 -1.50 0.00
-6.00 1.00 -2.00 -1.50 -0.50
19.00 0.00 0.00 0.00 0.00
6.00 1.00 -3.00 -2.50 -0.50
-22.00 1.00 4.00 5.00 -1.00
-4.00 0.00 8.50 8.00 0.50
12.00 0.00 6.50 8.50 -2.00
7.00 0.00 2.00 2.00 0.00
-8.00 1.00 -1.00 2.00 -3.00
1.00 1.00 -11.50 -12.00 0.50
-10.00 1.00 -1.00 1.00 -2.00
-9.00 0.00 2.00 3.50 -1.50
-5.00 1.00 -9.50 -11.50 2.00
6.00 0.00 -5.00 -4.50 -0.50
-4.00 0.00 0.00 -2.50 2.50
11.00 1.00 5.50 4.50 1.00
24.00 0.00 -3.50 -3.00 -0.50
3.00 1.00 -10.00 -12.00 2.00
-2.00 0.00 12.00 11.50 0.50
-32.00 0.00 9.50 9.00 0.50
8.00 1.00 8.50 10.00 -1.50
-28.00 0.00 -1.50 1.00 -2.50
-1.00 0.00 -4.00 -4.00 0.00
7.00 1.00 -6.00 -7.00 1.00
-2.00 1.00 -1.50 -2.50 1.00
19.00 1.00 -14.00 -13.00 -1.00
-2.00 0.00 -1.00 -2.00 1.00
-7.00 0.00 0.00 -2.00 2.00
2.00 0.00 -4.00 -6.50 2.50
-9.00 0.00 5.00 5.00 0.00
11.00 0.00 2.50 2.50 0.00
17.00 1.00 -14.50 -15.50 1.00
-4.00 0.00 10.50 10.00 0.50
3.00 1.00 -3.50 -6.00 2.50
1.00 0.00 -4.00 -5.00 1.00
7.00 0.00 -5.00 -5.50 0.50
15.00 1.00 -15.00 -15.50 0.50
-15.00 0.00 7.00 8.50 -1.50
3.00 0.00 6.00 5.50 0.50
-29.00 0.00 12.00 11.50 0.50
-12.00 0.00 7.50 9.50 -2.00
22.00 1.00 -7.00 -7.00 0.00
-6.00 0.00 -1.00 -2.00 1.00
12.00 1.00 -8.00 -9.50 1.50
-10.00 1.00 -3.00 -3.00 0.00
-11.00 0.00 -2.50 -3.50 1.00
-1.00 1.00 8.50 8.00 0.50
-3.00 1.00 1.00 1.50 -0.50
7.00 0.00 7.00 7.50 -0.50
-14.00 0.00 1.50 7.00 -5.50
-11.00 1.00 -6.00 -5.50 -0.50
9.00 0.00 -6.00 -6.50 0.50
-15.00 0.00 -4.50 -4.00 -0.50
-6.00 0.00 5.00 5.00 0.00
-7.00 0.00 -3.50 -4.50 1.00
-32.00 1.00 5.00 4.50 0.50
-7.00 0.00 7.50 7.50 0.00
2.00 1.00 -10.00 -10.50 0.50
-6.00 0.00 2.50 3.50 -1.00
9.00 0.00 -2.00 -1.50 -0.50
1.00 1.00 5.50 5.00 0.50
17.00 0.00 -4.50 -7.00 2.50
11.00 1.00 -2.50 -2.00 -0.50
-4.00 0.00 -1.00 -4.00 3.00
4.00 0.00 -5.00 -4.00 -1.00
-9.00 1.00 0.00 3.00 -3.00
-22.00 1.00 -1.00 -3.00 2.00
-10.00 0.00 5.00 6.00 -1.00
-6.00 1.00 -1.00 6.00 -7.00
1.00 0.00 3.00 1.00 2.00
13.00 1.00 -3.50 -2.00 -1.50
-29.00 0.00 -3.00 -3.00 0.00
21.00 0.00 1.00 -1.00 2.00
-7.00 1.00 0.00 1.00 -1.00
20.00 0.00 -5.00 -5.50 0.50
11.00 1.00 -4.50 -4.50 0.00
-16.00 0.00 2.00 4.00 -2.00
10.00 1.00 -3.50 -3.50 0.00
28.00 0.00 -7.00 -7.50 0.50
7.00 0.00 -7.00 -5.50 -1.50
5.00 1.00 2.00 0.00 2.00
9.00 1.00 9.50 12.00 -2.50
6.00 0.00 -6.00 -6.00 0.00
2.00 1.00 2.50 2.50 0.00
-8.00 0.00 -3.50 -5.50 2.00
8.00 1.00 -2.50 -2.50 0.00
-6.00 1.00 6.50 7.00 -0.50
20.00 1.00 -4.50 -5.00 0.50
-20.00 0.00 2.50 3.50 -1.00
-15.00 0.00 2.50 3.00 -0.50
4.00 1.00 -8.00 -8.00 0.00
17.00 1.00 -15.00 -16.00 1.00
-20.00 1.00 -2.00 0.00 -2.00
16.00 1.00 5.50 3.50 2.00
-1.00 0.00 6.50 7.00 -0.50
2.00 1.00 -2.00 -3.00 1.00
-5.00 1.00 -2.00 6.50 -8.50
-21.00 1.00 6.00 7.00 -1.00
-9.00 0.00 5.00 5.00 0.00
16.00 0.00 0.00 2.00 -2.00
6.00 1.00 -5.50 -5.50 0.00
-6.00 0.00 7.50 6.00 1.50
13.00 0.00 4.50 4.50 0.00
-32.00 0.00 6.00 7.50 -1.50
-6.00 0.00 11.00 11.50 -0.50
18.00 0.00 -2.00 -2.50 0.50
4.00 0.00 11.00 11.00 0.00
3.00 1.00 0.00 2.00 -2.00
-3.00 0.00 5.50 5.00 0.50
4.00 0.00 2.50 3.50 -1.00
-15.00 0.00 8.00 8.50 -0.50
-20.00 1.00 -2.00 -1.50 -0.50
-5.00 1.00 1.50 1.50 0.00
-6.00 0.00 11.00 12.50 -1.50
-16.00 1.00 4.00 5.50 -1.50
-23.00 1.00 5.50 6.50 -1.00
-2.00 1.00 1.00 4.00 -3.00
7.00 0.00 1.00 4.50 -3.50
8.00 1.00 -13.50 -14.00 0.50
-2.00 1.00 7.00 9.00 -2.00
21.00 0.00 2.00 2.00 0.00
-26.00 0.00 0.00 3.00 -3.00
-11.00 0.00 8.50 9.00 -0.50
9.00 0.00 9.50 10.50 -1.00
-6.00 1.00 -1.00 -4.00 3.00
-10.00 0.00 3.00 3.00 0.00
-4.00 1.00 -10.50 -10.50 0.00
-6.00 1.00 4.00 7.50 -3.50
-14.00 1.00 10.00 8.00 2.00
10.00 1.00 -10.50 -10.00 -0.50
1.00 1.00 -12.00 -11.00 -1.00
-26.00 0.00 3.00 1.50 1.50
9.00 1.00 -7.00 -8.50 1.50
-18.00 0.00 6.00 6.50 -0.50
-8.00 1.00 2.00 3.50 -1.50
-4.00 1.00 -11.00 -10.50 -0.50
5.00 1.00 -6.50 -7.00 0.50
8.00 1.00 0.00 1.50 -1.50
-15.00 0.00 -1.50 2.00 -3.50
2.00 0.00 1.50 2.50 -1.00
9.00 1.00 -2.00 -2.00 0.00
7.00 1.00 -10.00 -7.00 -3.00
