"Final" "Home" "Open" "Close" "Change"
-14.00 0.00 9.50 9.50 0.00
-10.00 0.00 7.00 7.00 0.00
-32.00 0.00 8.50 7.00 1.50
-10.00 0.00 6.00 6.50 -0.50
4.00 0.00 -1.50 -3.00 1.50
13.00 0.00 1.00 -1.00 2.00
10.00 1.00 6.50 5.50 1.00
4.00 0.00 1.00 2.50 -1.50
7.00 1.00 6.50 7.00 -0.50
9.00 0.00 3.00 1.50 1.50
3.00 0.00 -3.00 -2.00 -1.00
4.00 0.00 7.00 6.50 0.50
-11.00 0.00 4.00 4.00 0.00
-3.00 0.00 -2.50 0.00 -2.50
10.00 0.00 -3.50 -6.00 2.50
-2.00 1.00 -1.00 3.00 -4.00
5.00 1.00 -7.50 -6.00 -1.50
18.00 0.00 3.50 2.00 1.50
14.00 1.00 -8.00 -8.00 0.00
-5.00 0.00 5.50 6.50 -1.00
18.00 0.00 -6.00 -7.00 1.00
-3.00 1.00 3.50 5.50 -2.00
17.00 1.00 -2.50 -3.50 1.00
-21.00 0.00 6.00 6.50 -0.50
4.00 1.00 -5.50 -4.50 -1.00
3.00 1.00 -11.00 -7.00 -4.00
15.00 1.00 -6.00 -7.00 1.00
17.00 0.00 -5.50 -7.50 2.00
-3.00 1.00 6.50 8.50 -2.00
-5.00 0.00 3.00 4.50 -1.50
10.00 1.00 4.50 3.50 1.00
18.00 0.00 1.50 2.50 -1.00
16.00 1.00 -3.50 -7.00 3.50
3.00 1.00 -3.00 -2.00 -1.00
7.00 1.00 -5.50 -3.50 -2.00
-27.00 1.00 6.50 3.00 3.50
1.00 0.00 -1.00 -2.50 1.50
-14.00 0.00 4.00 7.00 -3.00
0.00 0.00 5.50 5.50 0.00
-4.00 1.00 -3.00 -2.50 -0.50
-29.00 0.00 6.50 11.50 -5.00
-5.00 1.00 -6.00 -6.00 0.00
-3.00 1.00 -3.50 -5.00 1.50
18.00 0.00 -3.50 -6.00 2.50
7.00 1.00 -3.00 -5.50 2.50
-7.00 1.00 -4.50 -3.50 -1.00
14.00 0.00 1.50 3.50 -2.00
9.00 0.00 -2.00 1.00 -3.00
-8.00 1.00 1.00 3.50 -2.50
6.00 0.00 -5.50 -3.00 -2.50
-10.00 0.00 -4.00 -3.00 -1.00
-8.00 0.00 3.00 1.00 2.00
11.00 0.00 5.50 3.50 2.00
-8.00 1.00 -3.00 -3.50 0.50
-8.00 1.00 7.00 4.00 3.00
7.00 1.00 -5.00 -7.00 2.00
14.00 0.00 -13.00 -14.00 1.00
8.00 1.00 -10.00 -13.50 3.50
-7.00 1.00 1.50 3.00 -1.50
5.00 0.00 5.50 8.00 -2.50
-14.00 0.00 6.00 5.00 1.00
-16.00 0.00 11.50 11.50 0.00
1.00 1.00 3.00 3.50 -0.50
-7.00 1.00 -3.50 -2.50 -1.00
8.00 0.00 11.50 10.50 1.00
20.00 0.00 -9.50 -7.00 -2.50
16.00 1.00 -6.50 -6.00 -0.50
20.00 0.00 -8.50 -7.00 -1.50
-9.00 0.00 7.00 7.50 -0.50
24.00 1.00 -13.00 -12.50 -0.50
26.00 0.00 9.00 8.00 1.00
9.00 1.00 2.50 -1.00 3.50
-1.00 0.00 9.50 6.50 3.00
-3.00 0.00 7.50 7.00 0.50
26.00 1.00 2.00 3.00 -1.00
-7.00 1.00 -2.50 -2.00 -0.50
-18.00 1.00 1.50 3.00 -1.50
17.00 0.00 3.50 3.50 0.00
6.00 1.00 -3.00 -3.50 0.50
-1.00 0.00 2.50 1.00 1.50
31.00 1.00 -4.00 -3.00 -1.00
-2.00 1.00 7.00 10.00 -3.00
-4.00 0.00 7.50 7.50 0.00
8.00 1.00 -3.00 2.00 -5.00
24.00 1.00 -9.00 -9.00 0.00
-6.00 1.00 -9.50 -7.50 -2.00
28.00 0.00 3.00 1.50 1.50
-9.00 1.00 3.50 5.50 -2.00
1.00 1.00 -6.50 -5.00 -1.50
